cluster,name,value,recency,linkedin_pos,desc,roles,,,,
Projects: Exe Assistant,cal.com,70,100,,Scheduling frontend, connects to iCloud CalDAV for external booking availability,,,,
Projects: Exe Assistant,copilot-instructions.md,100,100,,"Assistant configuration; defines role, routing rules, behavioral constraints, daily session protocol, and hard rules",,,,,
Projects: Exe Assistant,mcp.json,80,100,,"MCP server registry; tells VS Code which tool servers to load, their command paths, and environment config",,,,,
Projects: Exe Assistant,.env files,90,100,,"Credential storage; per-account config for IMAP/SMTP credentials and CalDAV auth, kept outside the workspace",,,,,
Projects: Exe Assistant,archival-map.md,100,100,,"Email routing reference; maps sender domains to archive folders; documents special rules (body-read required, latest-only pattern, etc.)",,,,,
Projects: Calendar MCP,TypeScript,10,100,,Primary language for the entire server, strict typing throughout,,,,
Projects: Calendar MCP,MCP SDK (@modelcontextprotocol/sdk),10,100,,Defines the server and registers tools that VS Code Copilot can invoke in Agent mode,,,,,
Projects: Calendar MCP,VS Code MCP integration,90,100,,mcp.json registers the server as a stdio process, Copilot Agent mode calls the tools conversationally,,,,
Projects: Calendar MCP,.copilotignore,100,100,,Prevents Copilot chat tools from reading credential files,,,,,
Projects: Calendar MCP,.gitignore / files.exclude,100,100,,Keeps .env files out of version control and VS Code search results,,,,,
Projects: Email MCP,imapflow,5,100,,"IMAP client; folder listing, message search, fetch, flag, move, delete, and folder CRUD",,,,,
Projects: Email MCP,nodemailer,5,100,,"SMTP client; sends outbound mail for send_email, reply_to_message, and forward_message",,,,,
Projects: Email MCP,mailparser,5,100,,Parses raw IMAP message source into structured objects, extracts plain-text body and attachments,,,,
Projects: Email MCP,zod,5,100,,Validates all tool input parameters, schemas also generate the tool manifest sent to the AI,,,,
Projects: Email MCP,dotenv,25,100,,Loads per-account .env files, EMAIL_CONFIG env var points each server instance to its credentials,,,,
Projects: Email MCP,Python stdlib,25,100,,"inbox_audit.py; scans INBOX via imaplib, extracts sender domains, cross-references Thunderbird filter rules",,,,,
